states,x,y
Acre,-228.0,70.0
Alagoas,233.0,58.0
Amapá,28.0,207.0
Amazonas,-140.0,129.0
Bahia,160.0,23.0
Ceará,190.0,124.0
Espírito Santo,182.0,-68.0
Goiás,54.0,-26.0
Maranhão,110.0,125.0
Mato Grosso,-31.0,19.0
Mato Grosso Do Sul,-12.0,-83.0
Minas Gerais,116.0,-57.0
Pará,8.0,131.0
Paraíba,237.0,92.0
Paraná,25.0,-137.0
Pernambuco,237.0,77.0
Piauí,135.0,87.0
Rio De Janeiro,150.0,-109.0
Rio Grande Do Norte,230.0,112.0
Rio Grande Do Sul,11.0,-204.0
Rondônia,-120.0,45.0
Roraima,-98.0,220.0
Santa Catarina,44.0,-174.0
São Paulo,64.0,-105.0
Sergipe,219.0,45.0
Tocantins,69.0,57.0
